sense_id;sequence
3037; 1T    o   1K    -   2M    -   3T  
3068; 1T    o   1K    -   2M    -   3K  
3060; 1T    o   1K    -   2M    -   3SA 
3050; 1T    o   1K    -   2M    -   3M  
3046; 1T    o   1K    -   2M    -   4T  
3148; 1T    o   1K    o   2T    o   2M  
3164; 1T    o   1K    o   2T    o   3C  
3165; 1T    o   1K    o   2T    o   3P  
3130; 1T    o   1K    o   2T    o   3SA 
3189; 1T    o   1K    o   3T    o   3K  
3196; 1T    o   1K    o   3T    o   3C  
3197; 1T    o   1K    o   3T    o   3P  
3184; 1T    o   1K    o   3T    o   3SA 
3180; 1T    o   1K    o   3T    o   4T  
2170; 1T    o   1C    -   2P  
3076; 1T    o   1C    -   2P    -   3K  
3379; 1T    o   1C    -   2P    -   3K    -   3C  
3447; 1T    o   1C    -   2P    -   3K    -   3P  
3411; 1T    o   1C    -   2P    -   3K    -   4T  
3509; 1T    o   1C    -   2P    -   3K    -   4T  
3362; 1T    o   1C    -   2P    -   3K    -   4C  
2324; 1T    o   1C   1P   2T  
2309; 1T    o   1C   1P   2K  
2337; 1T    o   1C   1P   3T  
3551; 1T    o   1C    o   2T    o   2K    -   2C  
3565; 1T    o   1C    o   2T    o   2K    -   2P  
3554; 1T    o   1C    o   2T    o   2K    -   3C  
3025; 1T    o   1C    o   2K    o   2P  
3401; 1T    o   1C    o   2K    o   2P    -   3T  
3499; 1T    o   1C    o   2K    o   2P    -   3T  
3437; 1T    o   1C    o   2K    o   2P    -   3K  
3375; 1T    o   1C    o   2K    o   2P    -   3C  
3358; 1T    o   1C    o   2K    o   2P    -   4C  
3317; 1T    o   1C    o   2K    o   2SA   -   3P  
2739; 1T    o   1P    -   1SA   -   4C  
2310; 1T    o   1P   2T   2C  
3566; 1T    o   1P    o   2T    o   2K    -   2C  
3552; 1T    o   1P    o   2T    o   2K    -   2P  
3555; 1T    o   1P    o   2T    o   2K    -   3P  
3145; 1T    o   1P    o   2T    o   2C  
3026; 1T    o   1P    o   2K    o   2C  
3376; 1T    o   1P    o   2K    o   2C    -   2P  
3402; 1T    o   1P    o   2K    o   2C    -   3T  
3500; 1T    o   1P    o   2K    o   2C    -   3T  
3438; 1T    o   1P    o   2K    o   2C    -   3K  
3359; 1T    o   1P    o   2K    o   2C    -   3P  
3318; 1T    o   1P    o   2K    o   2SA   -   3C  
3302; 1T    o   1P    o   2C    o   2SA   -   3T  
3319; 1T    o   1P    o   2C    o   2SA   -   3K  
2982; 1T    o   1P    o   2C    o   3T  
3027; 1T    o   1P    o   2C    o   3K  
3439; 1T    o   1P    o   2C    o   3K    -   3C  
3377; 1T    o   1P    o   2C    o   3K    -   3P  
3403; 1T    o   1P    o   2C    o   3K    -   4T  
3501; 1T    o   1P    o   2C    o   3K    -   4T  
3360; 1T    o   1P    o   2C    o   3K    -   4P  
2997; 1T    o   1P    o   2C    o   4T  
2311; 1T    o   1SA  2K   2C  
2312; 1T    o   1SA  2K   2P  
2313; 1T    o   1SA  2C   2P  
2342; 1T    o   1SA  2E   3T  
2984; 1T    o   1SA   o   2E    o   3T  
3013; 1T    o   1SA   o   2E    o   3SA 
2991; 1T    o   1SA   o   2E    o   3E  
2999; 1T    o   1SA   o   2E    o   4T  
3006; 1T    o   1SA   o   2E    o   4K  
2747; 1T    o   1M    -   2SA   -   3K  
2735; 1T    o   1M    o   1SA   -   3F  
3146; 1T    o   1M    o   2T    o   2K  
3557; 1T    o   1M    o   2T    o   2K    -   2SA 
3563; 1T    o   1M    o   2T    o   2K    -   3T  
3561; 1T    o   1M    o   2T    o   2K    -   3K  
3559; 1T    o   1M    o   2T    o   2K    -   3SA 
3033; 1T    o   1M    o   2K    o   2SA 
3301; 1T    o   1M    o   2K    o   2SA   -   3T  
3307; 1T    o   1M    o   2K    o   2SA   -   3K  
3313; 1T    o   1M    o   2K    o   2SA   -   3SA 
3311; 1T    o   1M    o   2K    o   2SA   -   3M  
3018; 1T    o   1M    o   2K    o   2M  
3023; 1T    o   1M    o   2K    o   2M  
3468; 1T    o   1M    o   2K    o   2E    -   2SA 
3467; 1T    o   1M    o   2K    o   2E    -   3SA 
2981; 1T    o   1M    o   2K    o   3T  
2989; 1T    o   1M    o   2K    o   3K  
3011; 1T    o   1M    o   2K    o   3SA 
2996; 1T    o   1M    o   2K    o   4T  
3004; 1T    o   1M    o   2K    o   4K  
3193; 1T    o   1M    o   3T    o   3K  
2770; 1K    -   1C    -   1P    -   2T  
3385; 1K    -   1C    -   1P    -   2T    -   2K  
3483; 1K    -   1C    -   1P    -   2T    -   2K  
3368; 1K    -   1C    -   1P    -   2T    -   2C  
3421; 1K    -   1C    -   1P    -   2T    -   2P  
3351; 1K    -   1C    -   1P    -   2T    -   3C  
2778; 1K    -   1C    -   2T    -   3P  
2198; 1K    -   1C    -   2K  
2207; 1K    -   1C    -   3K  
