sense_id;sequence
3139; 1C    o   1P    o   2C    o   2P  
3125; 1C    o   1P    o   2C    o   2SA 
3141; 1C    o   1P    o   2C    o   3P  
3133; 1C    o   1P    o   2C    o   3SA 
3150; 1C    o   1P    o   2C    o   3m  
3169; 1C    o   1P    o   2C    o   4T  
3171; 1C    o   1P    o   2C    o   4K  
2711; 1C    o   1P    o   2P    o   3C  
2712; 1C    o   1P    o   2P    o   4C  
3208; 1C    o   1P    o   3C    o   3P  
3203; 1C    o   1P    o   3C    o   3SA 
2926; 1C    o   1SA   -   2T    -   2K  
3251; 1C    o   1SA   -   2T    -   2K  
3253; 1C    o   1SA   -   2T    -   2C  
3255; 1C    o   1SA   -   2T    -   2P  
2929; 1C    o   1SA   -   2T    o   3K  
2923; 1C    o   1SA   -   2m    o    -  
2928; 1C    o   1SA   -   2m    o   2P  
2176; 1C    o   1SA   -   3m  
3042; 1C    o   1SA   -   3m    -   3C  
2297; 1C    o   1SA  2T   2K  
2330; 1C    o   1SA  2m   2C  
2318; 1C    o   1SA  2m   2P  
2344; 1C    o   1SA  2m   3C  
2927; 1C    o   1SA   o   2K    o   3T  
2986; 1C    o   1SA   o   2P    o   3C  
2993; 1C    o   1SA   o   2P    o   3P  
3015; 1C    o   1SA   o   2P    o   3SA 
3001; 1C    o   1SA   o   2P    o   4C  
3008; 1C    o   1SA   o   2P    o   4P  
2925; 1C    o   1SA   o   2m    o   2C  
2178; 1C    o   2T    -   3K  
3082; 1C    o   2T    -   3K    -   3P  
3453; 1C    o   2T    -   3K    -   3P    -   4K  
3417; 1C    o   2T    -   3K    -   3P    -   4C  
3515; 1C    o   2T    -   3K    -   3P    -   4C  
2333; 1C    o   2T   2K   2C  
2319; 1C    o   2T   2K   2P  
2305; 1C    o   2T   2P   3K  
3152; 1C    o   2T    o   2C    o   3K  
3172; 1C    o   2T    o   2C    o   4K  
3323; 1C    o   2T    o   2P    o   2SA   -   3K  
3021; 1C    o   2T    o   2P    o   3T  
3031; 1C    o   2T    o   2P    o   3K  
3407; 1C    o   2T    o   2P    o   3K    -   3C  
3505; 1C    o   2T    o   2P    o   3K    -   3C  
3443; 1C    o   2T    o   2P    o   3K    -   3P  
2320; 1C    o   2K   2P   3T  
3153; 1C    o   2K    o   2C    o   3T  
3170; 1C    o   2K    o   2C    o   4T  
3324; 1C    o   2K    o   2P    o   2SA   -   3T  
3032; 1C    o   2K    o   2P    o   3T  
3408; 1C    o   2K    o   2P    o   3T    -   3C  
3506; 1C    o   2K    o   2P    o   3T    -   3C  
3444; 1C    o   2K    o   2P    o   3T    -   3P  
3022; 1C    o   2K    o   2P    o   3K  
2005; 1C    o   2C    o   2P  
2018; 1C    o   2SA   o   2P  
2348; 1C    o   2m   2E   3C  
3151; 1C    o   2m    o   2C    o   2P  
3168; 1C    o   2m    o   2C    o   3P  
3036; 1C    o   2m    o   2P    o   2SA 
3306; 1C    o   2m    o   2P    o   2SA   -   3C  
3310; 1C    o   2m    o   2P    o   2SA   -   3P  
3316; 1C    o   2m    o   2P    o   2SA   -   3SA 
2988; 1C    o   2m    o   2P    o   3C  
2995; 1C    o   2m    o   2P    o   3P  
3017; 1C    o   2m    o   2P    o   3SA 
3472; 1C    o   2m    o   2P    o   3E    -   3SA 
3003; 1C    o   2m    o   2P    o   4C  
3010; 1C    o   2m    o   2P    o   4P  
2021; 1C    o   3C    o   3P  
1059; 1P    -   1K   2P  
1077; 1P    -   1K   2SA 
3252; 1P    -   1SA   -   2T    -   2K  
3254; 1P    -   1SA   -   2T    -   2C  
3256; 1P    -   1SA   -   2T    -   2P  
2168; 1P    -   1SA   -   2C  
2167; 1P    -   1SA   -   2m  
2426; 1P    -   1SA  2C    X  
2332; 1P    -   1SA  2C   2P  
2346; 1P    -   1SA  2C   3P  
1080; 1P    -   1SA  2P  
2299; 1P    -   1SA  2m   2C  
2331; 1P    -   1SA  2m   2P  
2345; 1P    -   1SA  2m   3P  
2944; 1P    -   2T    -   2K    o   2C  
3396; 1P    -   2T    -   2K    o   2C    -   2P  
3494; 1P    -   2T    -   2K    o   2C    -   2P  
3432; 1P    -   2T    -   2K    o   2C    -   3K  
2946; 1P    -   2T    -   2K    o   3C  
3398; 1P    -   2T    -   2K    o   3C    -   3P  
3496; 1P    -   2T    -   2K    o   3C    -   3P  
3434; 1P    -   2T    -   2K    o   3C    -   4K  
3218; 1P    -   2T    -   3P    -   4K  
2334; 1P    -   2T   2K   2P  
2307; 1P    -   2T   2K   3C  
2349; 1P    -   2T   2K   3P  
2306; 1P    -   2T   2C   3K  
1058; 1P    -   2T   2P  
1076; 1P    -   2T   2SA 
2941; 1P    -   2T    o   2C    o   3T  
2947; 1P    -   2T    o   2C    o   3K  
3435; 1P    -   2T    o   2C    o   3K    -   3C  
3399; 1P    -   2T    o   2C    o   3K    -   3P  
3497; 1P    -   2T    o   2C    o   3K    -   3P  
2194; 1P    -   2K    -   3T  
3216; 1P    -   2K    -   3P    -   4T  
2948; 1P    -   2K    o   2C    o   3T  
3436; 1P    -   2K    o   2C    o   3T    -   3C  
3400; 1P    -   2K    o   2C    o   3T    -   3P  
3498; 1P    -   2K    o   2C    o   3T    -   3P  
2942; 1P    -   2K    o   2C    o   3K  
 208; 1P    -   2C  
2097; 1P    -   2C    -   2P  
2204; 1P    -   2C    -   2P  
2093; 1P    -   2C    -   3C  
2213; 1P    -   2C    -   3P  
3217; 1P    -   2C    -   3P    -   4T  
3219; 1P    -   2C    -   3P    -   4K  
2195; 1P    -   2C    -   3m  
2096; 1P    -   2C    -   4m  
1060; 1P    -   2C   2P  
1078; 1P    -   2C   2SA 
2094; 1P    -   2C   3m   3C  
2095; 1P    -   2C    o   4C  
1090; 1P    -   2P   3P  
1092; 1P    -   2P   4T  
2703; 1P    -   2SA   -   3T    -   3C  
3260; 1P    -   2SA   -   3m    -   3C  
3261; 1P    -   2SA   -   3m    -   3SA 
3220; 1P    -   2m    -   3P    -   4C  
2950; 1P    -   2m    o   2C    o   2P  
2937; 1P    -   2m    o   2C    o   2SA 
2939; 1P    -   2m    o   2C    o   3SA 
2757; 1P    -   2E    -   2SA   -   3P  
 211; 1P    -   4C  
 271; 1P    X   2C  
 268; 1P    X   4C  
2354; 1P   2T    X   2K   2C  
2375; 1P   2T    X   2K   2P  
2360; 1P   2T    X   2K   3K  
2361; 1P   2T    X   3T   3C  
2263; 1P   2T   2K    -   2C  
2272; 1P   2T   2K    -   2P  
2287; 1P   2T   2K    -   3T  
2281; 1P   2T   2K    -   3P  
2261; 1P   2T   2C    -   3K  
2368; 1P   2K    X   2C   3T  
2362; 1P   2K    X   3m   3C  
2260; 1P   2K   2C    -   3T  
2369; 1P   2C    X   3T   3K  
2390; 1P   2C    X   3C   3P  
2392; 1P   2C    X   3m   3P  
2293; 1P   2C   3m    -   3C  
1009; 1P   2P  
 414; 1P   2P   2SA 
 435; 1P   2P   3C  
 422; 1P   2P   3SA 
 446; 1P   2SA   X  
 439; 1P   2SA  3K  
 409; 1P   2SA  3C  
2376; 1P   2m    X   2C   2P  
2391; 1P   2m    X   2C   3P  
2389; 1P   2m    X   3m   3P  
2273; 1P   2m   2C    -   2P  
2239; 1P   2m   2C    -   2SA 
2282; 1P   2m   2C    -   3P  
2288; 1P   2m   2C    -   3m  
2011; 1P   2E   2P   3E    X  
 331; 1P   2E   4C  
1012; 1P   3T  
 416; 1P   3T   2SA 
 437; 1P   3T   3C  
 424; 1P   3T   3SA 
2177; 1P    o   1SA   -   3m  
3043; 1P    o   1SA   -   3m    -   3P  
2298; 1P    o   1SA  2T   2K  
2179; 1P    o   2T    -   3K  
3083; 1P    o   2T    -   3K    -   3C  
3418; 1P    o   2T    -   3K    -   3C    -   3P  
3516; 1P    o   2T    -   3K    -   3C    -   3P  
3454; 1P    o   2T    -   3K    -   3C    -   4K  
3084; 1P    o   2T    -   3C    -   4K  
3455; 1P    o   2T    -   3C    -   4K    -   4C  
3419; 1P    o   2T    -   3C    -   4K    -   4P  
3517; 1P    o   2T    -   3C    -   4K    -   4P  
3154; 1P    o   2T    o   2P    o   3K  
3175; 1P    o   2T    o   2P    o   4K  
3205; 1P    o   2T    o   3P    o   3SA 
3210; 1P    o   2T    o   3P    o   4T  
3201; 1P    o   2T    o   3P    o   4P  
3085; 1P    o   2K    -   3C    -   4T  
3456; 1P    o   2K    -   3C    -   4T    -   4C  
3420; 1P    o   2K    -   3C    -   4T    -   4P  
3518; 1P    o   2K    -   3C    -   4T    -   4P  
2321; 1P    o   2K   2C   3T  
2308; 1P    o   2K   3T   3C  
3155; 1P    o   2K    o   2P    o   3T  
3173; 1P    o   2K    o   2P    o   4T  
2756; 1P    o   2C    -   2SA   -   3C  
2322; 1P    o   2C   3T   3K  
2351; 1P    o   2C   3m   3P  
3129; 1P    o   2C    o   2P    o   2SA 
3144; 1P    o   2C    o   2P    o   3C  
3123; 1P    o   2C    o   2P    o   3P  
3137; 1P    o   2C    o   2P    o   3SA 
3157; 1P    o   2C    o   2P    o   3m  
3174; 1P    o   2C    o   2P    o   4T  
3176; 1P    o   2C    o   2P    o   4K  
3117; 1P    o   2C    o   2P    o   4P  
3204; 1P    o   2C    o   3P    o   3SA 
3209; 1P    o   2C    o   3P    o   4C  
3200; 1P    o   2C    o   3P    o   4P  
2012; 1P    o   2P   3C    X  
2004; 1P    o   2P    o   3C  
2019; 1P    o   2SA   o   3C  
2180; 1P    o   2m    -   3C  
3045; 1P    o   2m    -   3C    -   3P  
3067; 1P    o   2m    -   3C    -   3SA 
3057; 1P    o   2m    -   3C    -   4C  
3073; 1P    o   2m    -   3C    -   4m  
2335; 1P    o   2m   2C   2P  
2350; 1P    o   2m   2C   3P  
2934; 1P    o   2m    o   2C    o   3C  
2935; 1P    o   2m    o   2C    o   3P  
3177; 1P    o   2m    o   2P    o   4C  
   4; 1SA 
1507; 1SA   -   2T  
1601; 1SA   -   2T    -   2K  
1603; 1SA   -   2T    -   2SA 
1602; 1SA   -   2T    -   2M  
1508; 1SA   -   2K  
1701; 1SA   -   2K    -   2C  
1703; 1SA   -   2K    -   3C  
1509; 1SA   -   2C  
1704; 1SA   -   2C    -   3P  
1702; 1SA   -   2C   2P  
1510; 1SA   -   2P  
1705; 1SA   -   2P    -   3T  
1723; 1SA   -   2P    -   3T    -   3K  
1711; 1SA   -   2P    -   3T    -   3C  
1712; 1SA   -   2P    -   3T    -   3P  
1713; 1SA   -   2P    -   3T    -   3SA 
1721; 1SA   -   2P    -   3T    -   4T  
1719; 1SA   -   2P    -   3T    -   4K  
1717; 1SA   -   2P    -   3T    -   4SA 
1501; 1SA   -   2SA 
1511; 1SA   -   3T  
1706; 1SA   -   3T    -   3K  
1714; 1SA   -   3T    -   3K    -   3C  
1715; 1SA   -   3T    -   3K    -   3P  
1716; 1SA   -   3T    -   3K    -   3SA 
1720; 1SA   -   3T    -   3K    -   4T  
1722; 1SA   -   3T    -   3K    -   4K  
1718; 1SA   -   3T    -   3K    -   4SA 
1513; 1SA   -   3K  
1516; 1SA   -   3K    -   3SA 
1517; 1SA   -   3C    -   3SA 
1518; 1SA   -   3P    -   3SA 
1502; 1SA   -   3SA 
1514; 1SA   -   3M  
1512; 1SA   -   4K  
1503; 1SA   -   4SA 
1515; 1SA   -   4M  
1504; 1SA   -   5SA 
1505; 1SA   -   6SA 
1506; 1SA   -   7SA 
   6; 1m  
2162; 1m    -   1C    -   1P  
2713; 1m    -   1C    -   3C    -   3P  
2058; 1m    -   1C    -   3P  
2061; 1m    -   1C   1P   3C  
2062; 1m    -   1C   1P   4C  
2121; 1m    -   1P    -   1SA 
2124; 1m    -   1P    -   2SA 
2057; 1m    -   1P    -   4C  
 231; 1m    -   1SA 
1079; 1m    -   1SA  2m  
2708; 1m    -   1M    -   2M    -   2SA 
2705; 1m    -   1M    -   2M    -   3m  
2706; 1m    -   1M    -   2M    -   3E  
2709; 1m    -   1M    -   3M    -    -  
2710; 1m    -   1M    -   3M    -   4M  
2714; 1m    -   1M    -   3M    -   4E  
2423; 1m    -   1M    X   XX  
2122; 1m    -   1E    -   1SA 
2125; 1m    -   1E    -   2SA 
 224; 1m    -   1F  
 232; 1m    -   2SA 
1087; 1m    -   2m   3m  
 226; 1m    -   2M  
 233; 1m    -   3SA 
 229; 1m    -   3E  
 230; 1m    -   4E  
1043; 1m    -    o   2M  
 280; 1m    X   XX  
 279; 1m    X   1SA 
2065; 1m    X   1M    -   3SA 
 275; 1m    X   1E  
 284; 1m    X   2SA 
 281; 1m    X   2m  
 282; 1m    X   3m  
 277; 1m    X   3E  
 283; 1m    X   4m  
 278; 1m    X   4E  
 349; 1m   1C    X  
2284; 1m   1C   1P    -   2C  
2066; 1m   1C   1P    -   3SA 
 350; 1m   1P    X  
 373; 1m   1P    X    -   FC  
 374; 1m   1P    X    -   1SA 
 370; 1m   1P    X    -   2C  
 380; 1m   1P    X    -   2P  
 375; 1m   1P    X    -   2SA 
 371; 1m   1P    X    -   3C  
 376; 1m   1P    X    -   3SA 
 372; 1m   1P    X    -   4C  
 397; 1m   1SA   X  
 393; 1m   1SA  1E  
 388; 1m   1SA  2T  
 392; 1m   1SA  2SA 
 394; 1m   1SA  2E  
 390; 1m   1SA  3E  
 395; 1m   1SA  3E  
 391; 1m   1SA  4E  
 396; 1m   1SA  4E  
 339; 1m   1M   2E  
2231; 1m   1E   1P    -   1SA 
2233; 1m   1E   1P    -   2SA 
 341; 1m   1E   1SA 
2235; 1m   1E   1SA   -   2SA 
 338; 1m   1E   1M  
2232; 1m   1E   1M    -   1SA 
2234; 1m   1E   1M    -   2SA 
 342; 1m   1E   2SA 
 351; 1m   1E   2E  
 343; 1m   1E   3SA 
 340; 1m   1E   3F  
1013; 1m   2K  
 410; 1m   2K   2SA 
 418; 1m   2K   3SA 
 398; 1m   2K   3m  
 442; 1m   2SA   X  
 405; 1m   2SA  3P  
 399; 1m   2SA  3m  
1003; 1m   2M  
3059; 1m    o   1C    -   2P    -   2SA 
3069; 1m    o   1C    -   2P    -   3C  
3051; 1m    o   1C    -   2P    -   3P  
3061; 1m    o   1C    -   2P    -   3SA 
3038; 1m    o   1C    -   2P    -   3m  
3476; 1m    o   1C    -   2P    -   3E    -   3SA 
3047; 1m    o   1C    -   2P    -   4m  
2063; 1m    o   1C   1P   2P  
3160; 1m    o   1C    o   2m    o   3K  
3159; 1m    o   1C    o   2m    o   3P  
3186; 1m    o   1C    o   3m    o   3C  
3192; 1m    o   1C    o   3m    o   3P  
2730; 1m    o   1P    -   1SA   -   2C  
3469; 1m    o   1P    o   2C   3E    -   3SA 
3019; 1m    o   1P    o   2C    o   2P  
3024; 1m    o   1P    o   2C    o   2P  
3034; 1m    o   1P    o   2C    o   2SA 
3308; 1m    o   1P    o   2C    o   2SA   -   3C  
3312; 1m    o   1P    o   2C    o   2SA   -   3P  
3314; 1m    o   1P    o   2C    o   2SA   -   3SA 
2990; 1m    o   1P    o   2C    o   3C  
3012; 1m    o   1P    o   2C    o   3SA 
3005; 1m    o   1P    o   2C    o   4C  
3161; 1m    o   1P    o   2m    o   3K  
3158; 1m    o   1P    o   2m    o   3C  
3191; 1m    o   1P    o   3m    o   3C  
3187; 1m    o   1P    o   3m    o   3P  
3112; 1m    o   1SA   o   2m    o   4m  
3007; 1m    o   1SA   o   2M    o   4M  
2732; 1m    o   1M    o   1SA   -   3m  
3182; 1m    o   1M    o   3m    o   3SA 
3178; 1m    o   1M    o   3m    o   4m  
2059; 1m    o   1M    o   4m  
2749; 1m    o   1E    -   2SA   -   3m  
2759; 1m    o   1E    o   1M    -    -  
2767; 1m    o   1E    o   1M    -   1SA 
2768; 1m    o   1E    o   1M    -   2SA 
2760; 1m    o   1E    o   1M    -   2m  
2762; 1m    o   1E    o   1M    -   2M  
2765; 1m    o   1E    o   1M    -   2E  
2769; 1m    o   1E    o   1M    -   3SA 
2761; 1m    o   1E    o   1M    -   3m  
2763; 1m    o   1E    o   1M    -   3M  
2766; 1m    o   1E    o   1M    -   3E  
2764; 1m    o   1E    o   1M    -   4M  
3124; 1m    o   1E    o   2m    o   2SA 
3138; 1m    o   1E    o   2m    o   2E  
3118; 1m    o   1E    o   2m    o   3m  
3140; 1m    o   1E    o   2m    o   3E  
3111; 1m    o   1E    o   2m    o   4m  
2026; 1m    o   2m    o   2SA 
2028; 1m    o   2m    o   2E  
2027; 1m    o   2m    o   3SA 
2025; 1m    o   2m    o   3m  
2030; 1m    o   3m    o   3SA 
2031; 1m    o   3m    o   3M  
   5; 1M  
 209; 1M    -   1SA 
2129; 1M    -   1SA   -   2SA 
1082; 1M    -   1SA  2SA 
2936; 1M    -   2T    -   2K    o   2SA 
2949; 1M    -   2T    -   2K    o   2M  
2940; 1M    -   2T    -   2K    o   3T  
2932; 1M    -   2T    -   2K    o   3K  
2938; 1M    -   2T    -   2K    o   3SA 
2933; 1M    -   2T    -   2K    o   3M  
 202; 1M    -   2SA 
2702; 1M    -   2SA   -   3T    -   3K  
2701; 1M    -   2SA   -   3T    -   3M  
3257; 1M    -   2SA   -   3m    -   3M  
 206; 1M    -   2m  
2203; 1M    -   2m    -   2M  
3121; 1M    -   2m    -   2M    -   3M  
3116; 1M    -   2m    -   2M    -   4M  
2082; 1M    -   2m    -   3m  
2728; 1M    -   2m    -   3m    -   3M  
2727; 1M    -   2m    -   3m    -   4M  
2212; 1M    -   2m    -   3M  
3198; 1M    -   2m    -   3M    -   4M  
2083; 1M    -   2m    -   4m  
2092; 1M    -   2m    X   XX  
2087; 1M    -   2m    X   3m  
2086; 1M    -   2m   2E   3m  
2091; 1M    -   2m   2E   3E  
 201; 1M    -   2M  
1088; 1M    -   2M   2SA 
2130; 1M    -   2E    -   2SA 
2134; 1M    -   2E    -   3SA 
 204; 1M    -   3SA 
2024; 1M    -   3SA   -   4M  
 203; 1M    -   3M  
2020; 1M    -   3M    -   4M  
 210; 1M    -   4m  
 205; 1M    -   4M  
 274; 1M    X   XX  
 273; 1M    X   1SA 
 262; 1M    X   2SA 
 270; 1M    X   2m  
2088; 1M    X   2m   2E   3F  
2084; 1M    X   2m    o   3m  
 261; 1M    X   2M  
 265; 1M    X   3SA 
 264; 1M    X   3m  
 263; 1M    X   3M  
 267; 1M    X   4m  
 266; 1M    X   4M  
 387; 1M   1SA   X  
 384; 1M   1SA  2SA 
 381; 1M   1SA  2M  
 385; 1M   1SA  2E  
 382; 1M   1SA  3M  
 386; 1M   1SA  3E  
 383; 1M   1SA  4M  
 406; 1M   2C   3K  
1010; 1M   2SA 
 417; 1M   2SA  2SA 
 425; 1M   2SA  3SA 
 402; 1M   2SA  3M  
 443; 1M   2M    X  
 400; 1M   2M   3M  
 337; 1M   2E    X  
 325; 1M   2E   2SA 
 324; 1M   2E   2M  
 334; 1M   2E   2F  
 327; 1M   2E   3SA 
 326; 1M   2E   3M  
 333; 1M   2E   3E  
 335; 1M   2E   3F  
 330; 1M   2E   4m  
 328; 1M   2E   4M  
 329; 1M   2E   4E  
 336; 1M   2E   4F  
 444; 1M   3T    X  
 401; 1M   3T   3M  
 407; 1M   3T   4T  
3065; 1M    o   1SA   -   3m    -   3SA 
3055; 1M    o   1SA   -   3m    -   4m  
3115; 1M    o   1SA   o   2M    o   4M  
3066; 1M    o   2T    -   3K    -   3SA 
3044; 1M    o   2T    -   3K    -   3M  
3479; 1M    o   2T    -   3K    -   3E    -   3SA 
3072; 1M    o   2T    -   3K    -   4T  
3056; 1M    o   2T    -   3K    -   4K  
3206; 1M    o   2T    o   3M    o   4T  
3207; 1M    o   2K    o   3M    o   4K  
2013; 1M    o   2SA   o   3SA 
2017; 1M    o   2SA   o   3m  
2014; 1M    o   2SA   o   3M  
2015; 1M    o   2SA   o   4M  
3127; 1M    o   2m    o   2M    o   2SA 
3135; 1M    o   2m    o   2M    o   3SA 
3143; 1M    o   2m    o   2M    o   3m  
2724; 1M    o   2m    o   3m    o   3SA 
2725; 1M    o   2m    o   3m    o   3E  
2726; 1M    o   2m    o   3m    o   4m  
3202; 1M    o   2m    o   3M    o   3SA 
2006; 1M    o   2M    o   2SA 
2002; 1M    o   2M    o   3T  
2003; 1M    o   2M    o   3K  
2001; 1M    o   2M    o   3M  
2007; 1M    o   2M    o   4M  
2023; 1M    o   3SA   o   4E  
2022; 1M    o   3M    o   4E  
1062; 1E    -   1C   2C  
1063; 1E    -   1P   2P  
2210; 1E    -   1SA   -   3E  
2055; 1E    -   1M    -   4T  
2056; 1E    -   1M    -   4K  
2133; 1E    -   1F   3SA 
1064; 1E    -   2T   3T  
1065; 1E    -   2K   3K  
1066; 1E    -   2C   3C  
1085; 1E    -   2E   2F  
1086; 1E    -   2E   3F  
1047; 1E    -    o    X  
1048; 1E    -    o   1SA 
1041; 1E    -    o   1F  
1042; 1E    -    o   2F  
1045; 1E    -    o   3F  
1046; 1E    -    o   4F  
1019; 1E    X  
1007; 1E   1SA 
1001; 1E   1F  
1002; 1E   2F  
1018; 1E   3SA 
1017; 1E   3E  
1005; 1E   3F  
1016; 1E   4SA 
1006; 1E   4F  
2745; 1E    o   1C    o   1SA   -   2T  
2746; 1E    o   1P    -   1SA   -   2T  
2754; 1E    o   1SA   o   2SA   -   3SA 
3126; 1E    o   1SA   o   2E    o   2SA 
3134; 1E    o   1SA   o   2E    o   3SA 
3120; 1E    o   1SA   o   2E    o   3E  
2751; 1E    o   1M    -   2SA   -   3M  
2750; 1E    o   1M    -   2SA   -   4M  
2064; 1E    o   1M   2F   3F  
2060; 1E    o   1M   3m   3M  
2729; 1E    o   1M    o   1SA   -   2K  
2741; 1E    o   1M    o   1SA   -   2SA 
2731; 1E    o   1M    o   1SA   -   2M  
2742; 1E    o   1M    o   1SA   -   3SA 
2738; 1E    o   1M    o   1SA   -   3M  
2743; 1E    o   1M    o   1SA   -   4SA 
2744; 1E    o   1M    o   1SA   -   6SA 
2051; 1E    o   1M    o   2M  
2054; 1E    o   1M    o   3SA 
2052; 1E    o   1M    o   3M  
2053; 1E    o   1M    o   4M  
2755; 1E    o   2m    o   2SA   -   3m  
   2; 2T  
1605; 2T    -   2K    -   2M  
1604; 2T    -   2K    -   3m  
1606; 2T    -   2K    -   3M  
1609; 2T    -   2C    -   3P  
1610; 2T    -   2P    -   3C  
1619; 2T    -   2P    -   4C  
1612; 2T    -   2SA   -   3T  
1613; 2T    -   2SA   -   3K  
1616; 2T    -   2SA   -   3C  
1617; 2T    -   2SA   -   3P  
1614; 2T    -   2SA   -   4T  
1615; 2T    -   2SA   -   4K  
1611; 2T    -   2M    -   3m  
1607; 2T    -   2M    -   3M  
1618; 2T    -   2M    -   4m  
1608; 2T    -   2M    -   4M  
1620; 2T    -   2E    -   3T   3SA 
1621; 2T    -   2E    -   3K   3SA 
1622; 2T    -   2E    -   3m   5m  
3457; 2T    -   3T  
   1; 2K  
3458; 2K    -   3K  
3459; 2C    -   3C  
3460; 2P    -   3P  
1709; 2P    -   4C  
   3; 2SA 
   7; 2M  
1710; 2M    -   3m  
1707; 2M    -   3M  
1708; 2M    -   4m  
3481; 2E    -   2SA 
3480; 2E    -   3SA 
3461; 3T    -   4T  
3462; 3K    -   4K  
3463; 3C    -   4C  
3464; 3P    -   4P  
  10; 3SA 
   8; 3E  
3482; 3E    -   3SA 
3465; 4T    -   5T  
3466; 4K    -   5K  
   9; 4E  
