deal_id;type;content
*       21;BIDS;  passe   
*       21;RULE;          
*       22;DEAL;K-94-AJ54-A76432, J985-AT52-KQ6-T9, QT43-K7-9832-KQ5, A762-QJ863-T7-J8
*       22;DIRS;  North      East     South      West
*       22;BIDS;    1T      passe       1P      passe   
*       22;RULE;    17                  61              
*       22;BIDS;    2T      passe     passe     passe   
*       22;RULE;   545                                  
*       23;DEAL;A752-4-AJT4-QJ97, K83-AKQ876-76-K2, QJ9-T932-KQ9-T84, T64-J5-8532-A653
*       23;DIRS;  North      East     South      West
*       23;BIDS;    1K        1C      passe     passe   
*       23;RULE;    17       190                        
*       23;BIDS;  passe   
*       23;RULE;          
*       24;DEAL;J8-AKQ9652-Q-T86, Q9765-8-AT9853-K, AK32-T7-762-Q975, T4-J43-KJ4-AJ432
*       24;DIRS;  North      East     South      West
*       24;BIDS;    1C        2K      passe     passe   
*       24;RULE;    16       191                        
*       24;BIDS;  passe   
*       24;RULE;          
*       25;DEAL;A98-J6-KQT63-KJ2, Q52-5-A98742-754, JT763-AK83-9863, K4-QT9742-J5-AQT
*       25;DIRS;  North      East     South      West
*       25;BIDS;    1K      passe       1P        2C    
*       25;RULE;    17                  62       202    
*       25;BIDS;  passe     passe     passe   
*       25;RULE;                              
*       26;DEAL;J986-J3-AQJ6-Q85, QT72-Q842-983-74, A53-65-K7-AJT932, K4-AKT97-T542-K6
*       26;DIRS;  North      East     South      West
*       26;BIDS;  passe     passe       1T        1C    
*       26;RULE;                        17        16    
*       26;BIDS;  passe     passe     passe   
*       26;RULE;                              
*       27;DEAL;8764-AJ-A62-AQT3, QJ92-K-98754-542, T6543-QJ3-KJ876, AKT53-Q9872-KT-9
*       27;DIRS;  North      East     South      West
*       27;BIDS;   1SA      passe       2T      passe   
*       27;RULE;    10                 271              
*       27;BIDS;    2P      passe       3P      passe   
*       27;RULE;   303                 315              
*       27;BIDS;  passe     passe   
*       27;RULE;                    
*       28;DEAL;9743-53-Q92-8753, K6-Q9876-8-AKQT6, AJ2-AJT2-KJT74-J, QT85-K4-A653-942
*       28;DIRS;  North      East     South      West
*       28;BIDS;  passe       1C        1K      passe   
*       28;RULE;              16        17              
*       28;BIDS;  passe     passe   
*       28;RULE;                    
*       29;DEAL;A9-KJ2-QJT62-987, J4-QT83-AK985-K4, KQ86532-654-QJ5, T7-A97-743-AT632
*       29;DIRS;  North      East     South      West
*       29;BIDS;  passe       1K        3P      passe   
*       29;RULE;              17        23              
*       29;BIDS;  passe     passe   
*       29;RULE;                    
*       30;DEAL;QT-Q752-AJT75-J3, AKJ95-JT-9-QT972, 643-3-KQ63-AK854, 872-AK9864-842-6
*       30;DIRS;  North      East     South      West
*       30;BIDS;  passe     passe       1T        2C    
*       30;RULE;                        17        22    
*       30;BIDS;  passe     passe     passe   
*       30;RULE;                              
*       31;DEAL;AK8-KJ762-KQ3-AJ, Q764-83-AJT7-652, JT9532-T9-4-KT73, AQ54-98652-Q984
*       31;DIRS;  North      East     South      West
*       31;BIDS;    2T      passe     passe     passe   
*       31;RULE;    6                                   
*       32;DEAL;KJ83-J8654-82-43, 76-KT3-Q65-KT972, AT542-A97-JT7-Q6, Q9-Q2-AK943-AJ85
*       32;DIRS;  North      East     South      West
*       32;BIDS;  passe     passe       1P        1K    
*       32;RULE;                        19        17    
*       32;BIDS;  passe     passe     passe   
*       32;RULE;                              
*       33;DEAL;K93-J964-K973-A5, QJ54-5-T542-K872, AT6-QT72-J86-Q63, 872-AK83-AQ-JT94
*       33;DIRS;  North      East     South      West
*       33;BIDS;  passe     passe     passe       1T    
*       33;RULE;                                  17    
*       33;BIDS;  passe     passe     passe   
*       33;RULE;                              
*       34;DEAL;4-742-K83-AJ9754, A98-QT983-QT863, KQJT76-KJ65-AT9, 532-A-QJ76542-K2
*       34;DIRS;  North      East     South      West
*       34;BIDS;  passe     passe       1P      passe   
*       34;RULE;                        16              
*       34;BIDS;  passe     passe   
*       34;RULE;                    
*       35;DEAL;AJ8-743-A972-AQ9, 965-K-T863-T7532, 2-AQJT52-KJ54-86, KQT743-986-Q-KJ4
*       35;DIRS;  North      East     South      West
*       35;BIDS;   1SA      passe       2K      passe   
*       35;RULE;    10                 287              
*       35;BIDS;    2C      passe       3C      passe   
*       35;RULE;   349                 356              
*       35;BIDS;  passe     passe   
*       35;RULE;                    
*       36;DEAL;KQ63-A-QJ9765-JT, 92-KQT653-T84-A9, T754-87-A2-KQ853, AJ8-J942-K3-7642
*       36;DIRS;  North      East     South      West
*       36;BIDS;    1K        1C        1P      passe   
*       36;RULE;    17       190       138              
*       36;BIDS;    2K      passe     passe     passe   
*       36;RULE;   608                                  
*       37;DEAL;85-AQ32-T7-JT875, AQJ74-864-A862-K, T6-JT9-KQ3-A9432, K932-K75-J954-Q6
*       37;DIRS;  North      East     South      West
*       37;BIDS;  passe       1P      passe     passe   
*       37;RULE;              16                        
*       37;BIDS;  passe   
*       37;RULE;          
*       38;DEAL;9654-A3-AK92-764, KJ85-Q653-KQ852, KQ83-QT942-87-JT, AJT72-76-JT4-A93
*       38;DIRS;  North      East     South      West
*       38;BIDS;  passe     passe       1C        1P    
*       38;RULE;                        19        19    
